"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_contagious","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"2019/12/19","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/20","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/21","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/22","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/23","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/24","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/25","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/26","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/27","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/28","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/29","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/30","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019/12/31","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/01","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/02","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/03","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/04","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/05","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/06","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/07","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/08","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/09","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/24","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/25","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/26","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/28","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/29","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/30","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/31","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/01","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/02","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/04","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/05","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/06","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/07","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/08","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/09","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/10","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/11","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/12","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/13","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/14","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/15","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/16","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/17","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/18","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/19","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/20","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/21","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/22","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/23","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/24","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/25","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/26","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/27","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/28","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/29","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/01","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/02","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/03","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/04","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/05","RS",8772228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/06","RS",8772228,1,0,1,0,0,0,0,0,1.13996125043718e-07,0,0,0,0,0
"2020/03/07","RS",8772228,0,0,1,0,72.463768115942,72.463768115942,72.463768115942,72.463768115942,1.13996125043718e-07,0,8.26058877128388e-06,8.26058877128388e-06,8.26058877128388e-06,8.26058877128388e-06
"2020/03/08","RS",8772228,0,0,1,0,72.463768115942,0,72.463768115942,72.463768115942,1.13996125043718e-07,0,8.26058877128388e-06,0,8.26058877128388e-06,8.26058877128388e-06
"2020/03/09","RS",8772228,0,0,1,0,144.927536231884,72.463768115942,144.927536231884,144.927536231884,1.13996125043718e-07,0,1.65211775425678e-05,8.26058877128388e-06,1.65211775425678e-05,1.65211775425678e-05
"2020/03/10","RS",8772228,4,0,5,0,217.391304347826,72.463768115942,217.391304347826,217.391304347826,5.69980625218588e-07,0,2.47817663138516e-05,8.26058877128388e-06,2.47817663138516e-05,2.47817663138516e-05
"2020/03/11","RS",8772228,7,0,12,0,217.391304347826,0,217.391304347826,217.391304347826,1.36795350052461e-06,0,2.47817663138516e-05,0,2.47817663138516e-05,2.47817663138516e-05
"2020/03/12","RS",8772228,7,0,19,0,289.855072463768,72.463768115942,289.855072463768,289.855072463768,2.16592637583063e-06,0,3.30423550851355e-05,8.26058877128388e-06,3.30423550851355e-05,3.30423550851355e-05
"2020/03/13","RS",8772228,16,0,35,0,289.855072463768,0,289.855072463768,289.855072463768,3.98986437653011e-06,0,3.30423550851355e-05,0,3.30423550851355e-05,3.30423550851355e-05
"2020/03/14","RS",8772228,11,0,46,0,289.855072463768,0,289.855072463768,289.855072463768,5.24382175201101e-06,0,3.30423550851355e-05,0,3.30423550851355e-05,3.30423550851355e-05
"2020/03/15","RS",8772228,2,0,48,0,942.028985507246,652.173913043478,942.028985507246,942.028985507246,5.47181400209844e-06,0,0.00010738765402669,7.43452989415549e-05,0.00010738765402669,0.00010738765402669
"2020/03/16","RS",8772228,7,0,55,0,1159.42028985507,217.391304347826,1159.42028985507,1159.42028985507,6.26978687740446e-06,0,0.000132169420340542,2.47817663138516e-05,0.000132169420340542,0.000132169420340542
"2020/03/17","RS",8772228,10,0,65,0,1376.8115942029,217.391304347826,1376.8115942029,1376.8115942029,7.40974812784164e-06,0,0.000156951186654394,2.47817663138516e-05,0.000156951186654394,0.000156951186654394
"2020/03/18","RS",8772228,18,0,83,0,1376.8115942029,0,1376.8115942029,1376.8115942029,9.46167837862855e-06,0,0.000156951186654394,0,0.000156951186654394,0.000156951186654394
"2020/03/19","RS",8772228,20,0,103,0,2246.3768115942,869.565217391304,2173.91304347826,2246.3768115942,1.17416008795029e-05,0,0.0002560782519098,9.91270652554065e-05,0.000247817663138516,0.0002560782519098
"2020/03/20","RS",8772228,32,1,135,1,2463.76811594203,217.391304347826,2391.30434782609,2463.76811594203,1.53894768809019e-05,1.13996125043718e-07,0.000280860018223652,2.47817663138516e-05,0.000272599429452368,0.000280860018223652
"2020/03/21","RS",8772228,36,0,171,1,3043.47826086957,579.710144927536,2898.55072463768,3043.47826086957,1.94933373824757e-05,1.13996125043718e-07,0.000346944728393923,6.6084710170271e-05,0.000330423550851355,0.000346944728393923
"2020/03/22","RS",8772228,51,1,222,2,3405.79710144928,362.31884057971,3188.40579710145,3405.79710144928,2.53071397597053e-05,2.27992250087435e-07,0.000388247672250342,4.13029438564194e-05,0.000363465905936491,0.000388247672250342
"2020/03/23","RS",8772228,27,1,249,3,3913.04347826087,507.246376811594,3695.65217391304,3913.04347826087,2.83850351358857e-05,3.41988375131153e-07,0.000446071793649329,5.78241213989871e-05,0.000421290027335478,0.000446071793649329
"2020/03/24","RS",8772228,54,0,303,3,4420.28985507246,507.246376811594,4130.4347826087,4420.28985507246,3.45408258882464e-05,3.41988375131153e-07,0.000503895915048317,5.78241213989872e-05,0.000470853559963181,0.000503895915048317
"2020/03/25","RS",8772228,81,1,384,4,4637.68115942029,217.391304347826,4347.82608695652,4565.21739130435,4.37745120167875e-05,4.5598450017487e-07,0.000528677681362168,2.47817663138516e-05,0.000495635326277033,0.000520417092590884
"2020/03/26","RS",8772228,0,0,384,4,4927.53623188406,289.855072463768,4637.68115942029,4855.07246376812,4.37745120167875e-05,4.5598450017487e-07,0.000561720036447304,3.30423550851355e-05,0.000528677681362168,0.00055345944767602
"2020/03/27","RS",8772228,73,0,457,4,5000,72.463768115942,4057.97101449275,4855.07246376812,5.20962291449789e-05,4.5598450017487e-07,0.000569980625218588,8.26058877128388e-06,0.000462592971191897,0.00055345944767602
"2020/03/28","RS",8772228,202,9,659,13,5362.31884057971,362.31884057971,4202.89855072464,5144.92753623188,7.51234464038098e-05,1.48194962556833e-06,0.000611283569075007,4.13029438564194e-05,0.000479114148734465,0.000586501802761155
"2020/03/29","RS",8772228,82,3,741,16,5579.71014492754,217.391304347826,4202.89855072464,5362.31884057971,8.44711286573947e-05,1.82393800069948e-06,0.000636065335388859,2.47817663138516e-05,0.000479114148734465,0.000611283569075007
"2020/03/30","RS",8772228,44,3,785,19,6014.49275362319,434.782608695653,4637.68115942029,5724.63768115942,8.94869581593182e-05,2.16592637583063e-06,0.000685628868016562,4.95635326277034e-05,0.000528677681362168,0.000652586512931426
