"date","countrycode2","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"2020/03/23","ZW",14645473,2,0,2,0,2,0,2,2,1.36560970069045e-07,1.36560970069045e-07,1.36560970069045e-07,1.36560970069045e-07
"2020/03/30","ZW",14645473,5,1,7,1,7,1,7,7,4.77963395241656e-07,3.41402425172611e-07,4.77963395241656e-07,4.77963395241656e-07
"2020/04/06","ZW",14645473,2,0,9,1,9,1,9,9,6.145243653107e-07,1.36560970069045e-07,6.145243653107e-07,6.145243653107e-07
"2020/04/13","ZW",14645473,5,2,14,3,14,3,14,14,9.55926790483312e-07,3.41402425172611e-07,9.55926790483312e-07,9.55926790483312e-07
"2020/04/20","ZW",14645473,11,0,25,3,25,3,25,25,1.70701212586306e-06,7.51085335379745e-07,1.70701212586306e-06,1.70701212586306e-06
"2020/04/27","ZW",14645473,6,1,31,4,31,4,31,31,2.11669503607019e-06,4.09682910207134e-07,2.11669503607019e-06,2.11669503607019e-06
"2020/05/04","ZW",14645473,3,0,34,4,34,4,34,34,2.32153649117376e-06,2.04841455103567e-07,2.32153649117376e-06,2.32153649117376e-06
"2020/05/11","ZW",14645473,2,0,34,4,36,4,36,36,2.4580974612428e-06,1.36560970069045e-07,2.4580974612428e-06,2.4580974612428e-06
"2020/05/18","ZW",14645473,10,0,39,3,46,4,46,46,3.14090231158802e-06,6.82804850345223e-07,3.14090231158802e-06,3.14090231158802e-06
"2020/05/25","ZW",14645473,10,0,47,3,56,4,56,56,3.82370716193325e-06,6.82804850345223e-07,3.82370716193325e-06,3.82370716193325e-06
"2020/06/01","ZW",14645473,122,0,164,1,178,4,178,178,1.2153926336145e-05,8.33021917421172e-06,1.2153926336145e-05,1.2153926336145e-05
"2020/06/08","ZW",14645473,104,0,257,1,282,4,282,282,1.92550967797353e-05,7.10117044359032e-06,1.92550967797353e-05,1.92550967797353e-05
"2020/06/15","ZW",14645473,101,0,352,0,383,4,381,383,2.6151425768222e-05,6.89632898848675e-06,2.6014864798153e-05,2.6151425768222e-05
"2020/06/22","ZW",14645473,106,2,455,2,489,6,482,489,3.33891571818814e-05,7.23773141365936e-06,3.29111937866397e-05,3.33891571818814e-05
"2020/06/29","ZW",14645473,78,0,531,2,567,6,558,567,3.87150350145741e-05,5.32587783269274e-06,3.81005106492634e-05,3.87150350145741e-05
"2020/07/06","ZW",14645473,149,2,670,4,716,8,702,716,4.88888272847179e-05,1.01737922701438e-05,4.79329004942346e-05,4.88888272847179e-05
"2020/07/13","ZW",14645473,269,10,929,14,985,18,960,985,6.72562777590044e-05,1.83674504742865e-05,6.55492656331414e-05,6.72562777590044e-05
"2020/07/20","ZW",14645473,626,7,1433,21,1611,25,1580,1611,0.000109999861390615,4.27435836316109e-05,0.000107883166354545,0.000109999861390615
"2020/07/27","ZW",14645473,901,9,2230,30,2512,34,2478,2510,0.00017152057840672,6.15207170161046e-05,0.000169199041915546,0.000171384017436651
"2020/08/03","ZW",14645473,1409,36,3538,66,3921,70,3885,3914,0.000267727781820362,9.62072034136419e-05,0.000265269684359119,0.00026724981842512
"2020/08/10","ZW",14645473,728,34,4160,98,4649,104,4603,4640,0.000317435974925494,4.97081931051322e-05,0.000314295072613906,0.000316821450560183
"2020/08/17","ZW",14645473,612,28,4694,126,5261,132,5205,5247,0.000359223631766622,4.17876568411276e-05,0.000355399924604688,0.000358267704976138
"2020/08/24","ZW",14645473,669,23,5214,147,5930,155,5752,5905,0.000404903276254717,4.56796444880954e-05,0.000392749349918572,0.000403196264128854
"2020/08/31","ZW",14645473,482,41,5427,178,6412,196,6130,6381,0.000437814470041357,3.29111937866397e-05,0.000418559373261622,0.000435697775005287
"2020/09/07","ZW",14645473,565,11,5366,182,6977,207,6594,6943,0.000476392944085862,3.85784740445051e-05,0.00045024151831764,0.000474071407594688
"2020/09/14","ZW",14645473,549,17,5014,190,7526,224,7037,7490,0.000513878930369815,3.74859862839527e-05,0.000480489773187933,0.000511420832908572
"2020/09/21","ZW",14645473,157,1,3762,155,7683,225,7116,7637,0.000524598966520235,1.072003615042e-05,0.00048588393150566,0.000521458064208647
"2020/09/28","ZW",14645473,129,2,3163,123,7812,227,7096,7756,0.000533407149089688,8.80818256945337e-06,0.00048451832180497,0.000529583441927755
"2020/10/05","ZW",14645473,73,1,2624,96,7885,228,6900,7707,0.000538391624497208,4.98447540752013e-06,0.000471135346738204,0.000526237698161063
"2020/10/12","ZW",14645473,126,2,2081,75,8011,230,6400,7729,0.000546994965611558,8.60334111434981e-06,0.000436995104220943,0.000527739868831823
"2020/10/19","ZW",14645473,136,1,1735,35,8147,231,5635,7764,0.000556281111576253,9.28614596469503e-06,0.000384760533169533,0.000530129685808031
"2020/10/26","ZW",14645473,129,6,1299,30,8276,237,4355,7787,0.000565089294145706,8.80818256945337e-06,0.000297361512325344,0.000531700136963825
"2020/11/02","ZW",14645473,98,6,848,19,8374,243,3725,7807,0.00057178078167909,6.69148753338318e-06,0.000254344806753595,0.000533065746664515
"2020/11/09","ZW",14645473,157,10,848,28,8531,253,3270,7815,0.00058250081782951,1.072003615042e-05,0.000223277186062888,0.000533611990544792
"2020/11/16","ZW",14645473,255,4,974,30,8786,257,2856,7801,0.000599912341513313,1.74115236838032e-05,0.000195009065258596,0.000532656063754308
"2020/11/23","ZW",14645473,434,11,1335,40,9220,268,2808,7609,0.000629546072018295,2.96337305049827e-05,0.000191731601976939,0.00051954621062768
"2020/11/30","ZW",14645473,730,8,1939,46,9950,276,2973,7438,0.000679390826093497,4.98447540752013e-05,0.000202997882007635,0.000507870247686777
"2020/12/07","ZW",14645473,768,15,2571,60,10718,291,3192,6797,0.00073183023860001,5.24394125065131e-05,0.000217951308230195,0.000464102456779648
"2020/12/14","ZW",14645473,528,16,2970,70,11246,307,3563,6597,0.000767882334698237,3.60520960982278e-05,0.000243283368178003,0.000450446359772743
"2020/12/21","ZW",14645473,1107,13,3979,77,12353,320,4541,7092,0.000843468831631454,7.55864969332162e-05,0.000310061682541766,0.000484245199864832
"2020/12/28","ZW",14645473,795,34,4617,101,13148,354,5263,7218,0.000897751817233899,5.42829856024452e-05,0.000359360192736691,0.000492848540979182
"2021/01/04","ZW",14645473,2117,26,6479,123,15265,380,7254,8853,0.00104230160405198,0.000144549786818084,0.000495306638440425,0.000604487134010626
"2021/01/11","ZW",14645473,6212,127,12257,239,21477,507,13330,14500,0.00146645997708643,0.000424158373034452,0.000910178865510182,0.000990067033000573
