"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-15",8,4,-9,7,-1,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-16",1,5,-14,-3,-2,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-17",4,2,NA,4,1,1
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-18",3,3,NA,3,0,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-19",8,4,NA,6,0,1
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-20",4,3,NA,7,1,1
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-21",5,0,6,3,-2,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-22",1,-1,-25,0,-3,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-23",5,9,NA,7,-2,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-24",3,9,NA,-4,-32,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-25",-2,0,NA,3,-33,3
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-26",-1,-2,NA,4,-32,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-27",-1,-1,NA,-1,-33,3
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-28",-6,-6,6,-8,-34,5
"FI","Finland","South Karelia","","","FI_02",NA,"2020-02-29",-1,-2,37,-1,-3,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-01",-4,0,10,0,-4,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-02",2,4,NA,6,-1,0
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-03",3,2,NA,-4,-2,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-04",3,-1,NA,-4,-1,1
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-05",2,2,NA,-5,-2,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-06",1,3,0,-4,-4,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-07",4,4,18,4,2,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-08",14,13,NA,7,2,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-09",3,5,NA,-8,0,0
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-10",2,0,NA,-11,-1,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-11",-4,-5,NA,-9,-2,2
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-12",-3,8,NA,-8,-3,1
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-13",-6,13,-15,-17,-7,4
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-14",-19,1,-1,-38,-10,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-15",-19,2,NA,-26,-13,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-16",-14,8,NA,-24,-19,6
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-17",-22,4,NA,-38,-28,10
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-18",-35,-12,NA,-44,-40,13
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-19",-39,-15,NA,-47,-41,13
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-20",-40,-16,NA,-50,-42,15
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-21",-49,-19,40,-55,-20,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-22",-44,-18,NA,-52,-20,NA
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-23",-40,-16,NA,-49,-43,12
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-24",-44,-18,NA,-46,-45,15
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-25",-44,-19,NA,-52,-45,14
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-26",-43,-16,NA,-52,-45,14
"FI","Finland","South Karelia","","","FI_02",NA,"2020-03-27",-43,-18,NA,-57,-46,15
