"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-15",-10,-10,28,11,-7,-2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-16",-10,1,-2,5,-2,-2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-17",-3,-1,2,-7,-25,5
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-18",2,-1,50,-5,-23,4
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-19",-6,-8,17,-5,-21,3
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-20",-2,-3,38,-3,-23,3
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-21",-5,-5,2,-3,-24,5
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-22",-11,-9,39,13,-8,0
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-23",3,7,48,19,-2,-2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-24",-1,1,58,9,1,0
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-25",-2,0,17,4,2,1
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-26",-7,-2,-19,1,0,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-27",-7,-1,-24,2,1,1
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-28",0,3,11,13,1,0
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-02-29",-2,2,-5,11,0,1
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-01",2,8,-6,10,1,0
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-02",-6,1,-12,2,0,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-03",-7,-4,-18,-5,1,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-04",-8,0,-30,-3,1,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-05",-5,2,-23,0,1,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-06",-6,-1,-26,5,0,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-07",-4,0,-3,4,-2,1
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-08",-6,-1,3,9,-2,0
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-09",-6,-1,-10,0,-1,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-10",-3,-1,20,-2,-1,1
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-11",-5,-1,21,-1,-1,1
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-12",-9,5,-12,-5,0,1
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-13",-9,20,-2,-6,-2,2
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-14",-25,-3,6,-17,-7,5
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-15",-46,17,-9,-26,-10,3
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-16",-46,38,-40,-42,-42,17
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-17",-72,-21,-50,-65,-64,29
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-18",-85,-49,-60,-80,-76,36
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-19",-85,-43,-66,-84,-78,39
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-20",-85,-43,-71,-84,-78,42
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-21",-89,-56,-80,-85,-60,25
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-22",-88,-67,-81,-88,-55,19
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-23",-83,-42,-69,-85,-80,37
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-24",-84,-46,-69,-85,-80,39
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-25",-86,-50,-76,-86,-80,38
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-26",-86,-47,-77,-87,-80,40
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-27",-86,-47,-74,-87,-79,42
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-28",-89,-58,-81,-87,-60,25
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-29",-89,-75,-83,-89,-57,19
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-30",-86,-51,-74,-87,-80,38
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-03-31",-91,-44,-67,-85,-79,38
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-01",-92,-48,-75,-86,-78,37
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-02",-92,-43,-73,-86,-78,39
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-03",-86,-41,-70,-85,-78,41
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-04",-89,-51,-77,-84,-59,25
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-05",-88,-69,-78,-88,-55,19
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-06",-84,-42,-65,-84,-79,37
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-07",-83,-41,-67,-83,-79,38
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-08",-85,-44,-71,-83,-77,36
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-09",-84,-37,-69,-83,-78,38
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-10",-83,-35,-68,-83,-77,40
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-11",-87,-45,-77,-83,-57,24
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-12",-85,-64,-78,-87,-51,19
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-13",-92,-81,-72,-91,-92,43
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-14",-79,-26,-56,-80,-77,36
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-15",-83,-37,-71,-82,-75,35
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-16",-83,-34,-68,-84,-76,37
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-17",-83,-37,-71,-84,-75,40
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-18",-87,-47,-74,-83,-53,24
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-19",-87,-68,-79,-87,-49,19
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-20",-81,-41,-67,-83,-75,36
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-21",-82,-40,-71,-84,-74,37
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-22",-83,-40,-70,-82,-73,35
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-23",-82,-35,-67,-82,-73,36
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-24",-81,-34,-61,-81,-72,38
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-25",-85,-44,-74,-82,-49,23
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-26",-85,-61,-71,-84,-43,18
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-27",-79,-38,-63,-81,-72,34
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-28",-78,-33,-59,-80,-72,35
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-29",-79,-31,-61,-78,-70,32
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-04-30",-74,-12,-66,-79,-70,33
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-01",-94,-89,-79,-91,-90,47
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-02",-79,-28,-75,-79,-47,22
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-03",-82,-53,-63,-80,-34,16
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-04",-71,-21,-47,-74,-68,31
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-05",-72,-22,-45,-74,-68,32
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-06",-74,-24,-56,-73,-66,30
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-07",-71,-9,-58,-76,-66,31
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-08",-84,-56,-59,-85,-86,42
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-09",-77,-26,-69,-78,-39,20
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-10",-81,-55,-79,-82,-34,16
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-11",-49,-12,-34,-60,-56,23
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-12",-48,-6,-1,-55,-55,22
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-13",-52,-10,-18,-55,-53,21
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-14",-52,-9,-42,-60,-54,24
"FR","France","Occitanie","Haute-Garonne","","FR_31",NA,"2020-05-15",-50,-8,-23,-57,-53,24
