"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-15",7,1,55,11,3,-2
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-16",9,2,53,7,1,-2
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-17",1,0,7,4,2,-1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-18",1,-1,8,-2,2,0
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-19",-1,1,-3,0,2,0
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-20",1,-1,13,0,2,-1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-21",0,2,13,3,2,-2
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-22",6,4,48,8,3,-2
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-23",3,5,34,2,3,-1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-24",1,16,4,-9,-2,1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-25",4,5,51,-16,-5,1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-26",-9,-4,-14,-6,0,2
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-27",-3,0,1,-11,1,1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-28",-1,3,17,-6,2,0
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-02-29",4,4,51,-7,4,0
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-01",-11,2,-31,-18,-1,3
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-02",-6,-1,-20,-5,2,1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-03",-5,1,-19,-14,-1,3
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-04",-5,4,18,-2,1,1
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-05",-9,6,23,-29,-14,6
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-06",-17,2,-13,-33,-15,8
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-07",-18,3,-2,-32,-12,7
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-08",-23,-6,23,-34,-7,5
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-09",-24,-2,5,-43,-22,10
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-10",-39,-9,-19,-57,-29,14
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-11",-49,-21,-19,-66,-35,18
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-12",-67,-30,-54,-72,-44,23
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-13",-73,-35,-60,-74,-50,26
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-14",-80,-46,-72,-74,-51,24
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-15",-89,-63,-84,-81,-48,22
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-16",-72,-43,-62,-77,-53,25
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-17",-74,-47,-62,-81,-56,27
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-18",-76,-47,-66,-80,-56,28
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-19",-75,-47,-70,-81,-57,28
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-20",-77,-47,-75,-82,-59,30
"IT","Italy","Lazio","Province of Latina","","IT_LT",NA,"2020-03-21",-83,-55,-84,-82,-57,26
