"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-15",-1,1,0,-8,2,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-16",-4,1,0,-5,4,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-17",-4,-4,1,-6,4,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-18",-4,-2,8,-5,3,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-19",-5,-1,2,-3,3,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-20",-4,-1,-2,-4,4,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-21",-2,0,7,-10,-2,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-22",-6,-2,5,-11,2,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-23",-7,-2,4,-6,4,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-24",-6,-5,4,-6,3,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-25",-4,-1,5,-2,3,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-26",-6,-1,-11,-3,2,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-27",1,6,-5,-1,3,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-28",5,8,2,-9,-1,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-02-29",2,7,1,-6,3,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-01",1,8,3,-4,5,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-02",0,4,-4,-5,4,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-03",1,6,1,-4,4,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-04",1,5,-1,-5,3,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-05",2,5,0,-8,4,1
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-06",3,6,4,-13,0,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-07",-1,4,-1,-14,3,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-08",-5,7,-3,-12,4,2
"SA","Saudi Arabia","Eastern Province","","","SA_04",NA,"2020-03-09",-8,4,-1,-17,-9,6
