"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-15",22,7,20,50,0,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-16",8,-4,-32,-3,-2,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-17",0,0,3,-1,1,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-18",2,1,19,2,1,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-19",13,4,33,4,2,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-20",13,3,-3,-1,1,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-21",10,2,16,2,1,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-22",6,1,-16,1,0,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-23",5,0,4,7,0,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-24",9,1,30,-9,-16,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-25",15,10,7,-6,-15,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-26",14,3,8,-10,-16,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-27",18,4,11,-7,-19,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-28",13,-1,2,-8,-22,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-02-29",6,4,2,1,2,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-01",-2,-4,-35,-5,-5,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-02",6,5,2,-2,0,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-03",6,1,4,1,2,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-04",-1,2,-9,-4,1,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-05",-1,5,-6,-5,0,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-06",-1,3,4,-2,1,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-07",11,4,11,0,3,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-08",2,-3,-36,-10,-4,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-09",2,2,14,-2,-2,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-10",2,-1,3,-2,0,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-11",0,5,10,-3,0,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-12",0,14,-7,-7,-2,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-13",-7,6,-3,-12,-6,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-14",-18,4,22,-5,-2,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-15",-23,-3,-50,-27,-11,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-16",-16,3,15,-17,-11,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-17",-26,0,-7,-21,-14,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-18",-23,-4,-6,-27,-20,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-19",-23,-3,14,-23,-21,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-20",-24,-6,-1,-31,-22,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-21",-32,-8,17,-14,-10,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-22",-29,-9,-3,-22,-14,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-23",-21,-8,-9,-32,-19,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-24",-25,-7,-4,-26,-19,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-25",-16,1,-1,-28,-19,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-26",-18,-3,17,-25,-19,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-27",-16,-5,11,-29,-21,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-28",-27,-8,-2,-15,-9,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-29",-28,-11,0,-25,-13,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-30",-16,-8,5,-28,-20,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-03-31",-17,-4,20,-22,-19,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-01",-18,-3,5,-26,-21,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-02",-26,-7,-17,-33,-22,10
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-03",-21,-6,6,-31,-21,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-04",-31,-8,10,-17,-11,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-05",-33,-11,-19,-34,-15,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-06",-7,-2,59,-18,-21,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-07",-9,4,45,-14,-20,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-08",0,14,17,-18,-22,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-09",2,21,29,-16,-30,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-10",-47,-22,69,-37,-78,19
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-11",-49,-17,1,-19,-19,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-12",-38,-15,2,-29,-19,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-13",-40,-20,-5,-48,-80,22
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-14",-11,-4,9,-25,-30,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-15",-11,-3,49,-21,-30,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-16",-15,-3,30,-24,-31,10
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-17",-15,-4,31,-28,-33,10
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-18",-33,-12,28,-9,-7,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-19",-29,-13,45,-18,-10,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-20",-7,-7,64,-16,-17,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-21",-12,-8,74,-10,-16,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-22",-12,-8,75,-13,-16,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-23",-15,-6,56,-18,-18,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-24",-12,-6,27,-21,-19,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-25",-24,-7,24,-12,-5,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-26",-22,-9,27,-18,-8,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-27",-14,-8,-17,-31,-18,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-28",-13,-6,-5,-22,-17,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-29",-9,-3,24,-17,-17,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-04-30",-7,11,24,-19,-24,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-01",-49,-30,1,-52,-76,21
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-02",-24,-8,48,-6,-6,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-03",-25,-10,27,-20,-7,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-04",-10,-6,7,-23,-19,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-05",-14,-8,65,-13,-16,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-06",-13,-6,60,-16,-16,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-07",-17,-4,42,-17,-17,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-08",-15,-7,50,-20,-18,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-09",-25,-11,72,-1,-4,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-10",-32,-11,-42,-40,-12,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-11",-10,-5,36,-21,-19,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-12",-18,-5,8,-22,-15,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-13",-15,-5,35,-20,-15,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-14",-18,-3,20,-20,-17,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-15",-18,-9,23,-26,-18,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-16",-29,-13,28,-9,0,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-17",-27,-12,15,-21,-1,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-18",-7,-4,40,-17,-16,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-19",-5,0,49,-15,-14,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-20",9,18,76,-8,-16,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-21",-29,-5,119,-31,-74,16
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-22",-9,-6,91,-25,-52,10
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-23",-26,-11,13,-21,-6,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-24",-24,-11,1,-26,-3,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-25",5,4,64,-18,-18,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-26",-2,2,84,-10,-13,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-27",2,4,54,-15,-14,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-28",-4,3,63,-15,-13,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-29",-4,-1,105,-13,-15,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-30",-16,-1,123,10,8,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-05-31",-12,6,99,-2,6,-3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-01",4,5,144,-8,-17,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-02",-5,2,130,-11,-13,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-03",-3,0,70,-11,-14,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-04",-7,1,63,-16,-14,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-05",-11,-4,12,-25,-18,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-06",-28,-11,47,-12,0,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-07",-18,-7,23,-18,0,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-08",5,3,90,-12,-15,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-09",2,3,118,-6,-14,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-10",8,6,118,-8,-15,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-11",4,9,124,-5,-19,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-12",-6,-3,142,-9,-23,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-13",-19,-7,153,16,9,-2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-14",-18,-1,141,1,5,-3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-15",6,8,177,-8,-23,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-16",3,8,104,-11,-23,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-17",8,18,82,-11,-22,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-18",15,41,170,-1,-29,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-19",-62,-31,208,-30,-76,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-20",-54,-29,168,-2,-15,-2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-21",-9,-4,84,-3,-1,-3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-22",10,9,37,-25,-34,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-23",0,3,195,-7,-31,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-24",1,5,201,-9,-30,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-25",2,11,203,-11,-31,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-26",-4,-2,224,-10,-33,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-27",-20,-9,233,17,0,-5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-28",-11,-3,37,-14,-4,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-29",18,9,143,-10,-35,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-06-30",9,5,79,-19,-35,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-01",9,2,113,-16,-35,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-02",2,4,83,-20,-36,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-03",-3,-8,122,-18,-37,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-04",-13,-10,100,1,-1,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-05",-18,-9,1,-31,-12,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-06",17,10,92,-23,-50,10
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-07",10,4,155,-18,-50,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-08",11,4,132,-20,-49,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-09",5,2,189,-17,-50,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-10",-4,-8,175,-20,-50,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-11",-15,-11,94,0,-4,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-12",-3,-4,157,3,-3,-3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-13",21,10,NA,-11,-58,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-14",14,7,86,-27,-60,11
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-15",16,7,128,-23,-57,11
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-16",5,2,234,-11,-57,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-17",-5,-9,218,-16,-55,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-18",-14,-11,157,8,-4,-2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-19",-6,-6,91,-8,-12,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-20",30,18,187,-16,-59,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-21",17,9,223,-14,-60,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-22",20,8,248,-11,-58,7
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-23",11,6,241,-12,-59,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-24",10,-2,234,-15,-57,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-25",8,3,232,28,-1,-4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-26",20,11,74,-6,-10,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-27",53,31,NA,-11,-58,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-28",46,30,106,-24,-59,11
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-29",42,27,136,-16,-58,10
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-30",26,20,229,-14,-57,8
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-07-31",8,2,261,-13,-56,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-01",-5,-2,250,20,-1,-5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-02",14,11,101,0,-4,-3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-03",32,19,196,-15,-45,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-04",24,15,200,-10,-45,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-05",27,17,73,-26,-46,9
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-06",16,12,163,-16,-45,6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-07",0,-4,230,-14,-45,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-08",-13,-6,248,13,0,-5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-09",-1,2,NA,2,0,-6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-10",17,10,154,-13,-33,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-11",11,6,190,-12,-32,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-12",13,9,175,-12,-31,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-13",7,12,156,-16,-32,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-14",-2,-2,183,-15,-34,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-15",-25,-14,207,10,1,-5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-16",-16,-7,158,-2,2,-6
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-17",NA,-2,NA,NA,-28,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-18",NA,-1,NA,NA,-23,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-19",NA,-2,NA,NA,-23,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-20",NA,-2,NA,NA,-23,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-21",-12,-9,NA,NA,-23,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-22",-21,-13,NA,NA,NA,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-23",NA,-9,NA,NA,NA,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-24",NA,-6,NA,NA,-21,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-25",NA,1,NA,NA,-20,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-26",NA,-1,NA,NA,-18,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-27",NA,-1,NA,NA,-20,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-28",NA,-10,NA,NA,-21,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-29",NA,-9,NA,NA,NA,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-30",NA,-8,NA,NA,NA,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-08-31",NA,-3,NA,NA,-20,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-01",NA,-4,NA,NA,-21,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-02",NA,-5,NA,NA,-20,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-03",NA,-5,NA,NA,-21,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-04",-8,-8,NA,NA,-22,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-05",NA,-5,NA,NA,NA,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-06",NA,-3,NA,NA,NA,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-07",NA,2,NA,NA,-21,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-08",NA,1,NA,NA,-21,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-09",NA,-2,NA,NA,-21,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-10",NA,-2,NA,NA,-21,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-11",-5,-4,59,-10,-21,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-12",-8,-3,59,2,-2,-2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-13",-13,-2,29,-9,-3,-2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-14",-1,-1,91,-7,-18,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-15",-6,-1,86,-4,-15,-1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-16",-7,-4,50,-9,-15,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-17",-7,-7,63,-9,-17,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-18",0,-4,87,-9,-17,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-19",-6,-6,109,15,3,-3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-20",-9,-5,50,-4,1,-2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-21",-2,-4,55,-10,-18,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-22",-6,-2,45,-10,-14,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-23",-7,-4,36,-17,-13,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-24",-9,-5,18,-20,-15,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-25",4,-1,39,-14,-17,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-26",0,-3,19,-12,1,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-27",-7,-4,25,-15,2,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-28",2,-2,43,-15,-13,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-29",-4,0,25,-17,-12,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-09-30",-1,1,32,-13,-12,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-01",-4,0,21,-15,-13,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-02",-3,-6,40,-12,-12,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-03",-6,-5,35,-5,0,0
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-04",-14,-4,-9,-21,-3,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-05",-4,-2,51,-10,-13,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-06",-11,-3,3,-17,-13,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-07",-3,1,23,-12,-11,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-08",-5,2,16,-13,-12,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-09",1,1,38,-14,-11,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-10",-23,-15,0,-17,-2,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-11",-26,-10,7,-19,-6,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-12",-13,-8,59,-13,-15,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-13",-16,-8,52,-11,-15,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-14",-15,-6,23,-17,-14,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-15",-18,-7,32,-22,-16,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-16",-15,-11,33,-23,-16,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-17",-22,-13,37,-15,-2,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-18",-27,-11,13,-25,-4,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-19",-7,-1,19,-20,-13,3
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-20",-18,-7,-15,-25,-14,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-21",-12,-2,3,-22,-12,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-22",-14,-3,5,-25,-12,4
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-23",-8,-6,21,-17,-12,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-24",-17,-8,15,-17,-2,1
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-25",-21,-6,-17,-26,-5,2
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-26",0,1,25,-27,-25,5
"SE","Sweden","Varmland County","","","SE_S",NA,"2020-10-27",-1,3,21,-23,-25,4
