"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-15",-9,3,21,-5,4,1
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-16",-4,1,25,11,3,2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-17",3,8,NA,10,7,-1
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-18",3,9,NA,4,14,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-19",2,2,39,7,8,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-20",1,11,40,7,8,-1
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-21",-2,2,18,3,5,0
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-22",-11,-9,19,-14,3,3
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-23",1,10,56,-8,6,1
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-24",1,4,NA,4,8,0
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-25",0,9,NA,1,15,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-26",9,7,NA,-2,11,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-27",2,14,42,8,11,-3
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-28",2,2,43,4,9,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-02-29",-15,-8,14,-14,4,2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-03-01",4,12,79,4,8,0
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-03-02",4,9,NA,12,8,-1
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-03-03",5,9,NA,18,14,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-03-04",5,6,NA,5,10,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-03-05",3,15,41,3,11,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-03-06",-1,14,49,6,8,-2
"TR","Turkey","Bilecik","","","TR_11",NA,"2020-03-07",5,16,100,15,7,-2
