"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-15",-20,-17,-17,-10,-12,9
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-16",-24,-18,-24,-22,-8,10
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-17",-19,-16,-18,-8,5,8
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-18",-16,-14,-11,-9,5,7
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-19",-20,-19,-19,-13,5,6
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-20",-16,-14,-11,-11,3,5
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-21",-16,-13,-5,-10,-7,6
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-22",-15,-9,-8,-4,-10,7
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-23",-21,-15,-16,-17,-5,7
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-24",-13,-14,-13,-2,6,6
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-25",-11,-13,-6,-6,6,5
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-26",-15,-16,-15,-12,7,5
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-27",-11,-10,-9,-11,4,4
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-28",-14,-10,-5,-5,-6,5
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-02-29",-13,-9,-2,3,-9,6
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-03-01",-13,-10,-11,-7,-3,5
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-03-02",-13,-12,-10,-4,16,4
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-03-03",-15,-15,-12,-13,15,4
"VN","Vietnam","Quảng Ninh","","","VN_13",NA,"2020-03-04",-30,-30,-33,-28,10,9
