"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"2020-01-01","Afghanistan","",3,3,2,0,2,2,1,3,2,1,1,0,1.06306051283316,0.0101667169138629,2.59657249850794
"2020-01-01","Albania","",2,2,2,4,2,2,2,4,2,1,2,0,1.07203330674664,0.00648820688733439,2.81453513317025
"2020-01-01","Algeria","",3,2,2,4,0,2,2,4,2,1,2,3,1.07814898221145,0.00396614429926493,2.98312195402014
"2020-01-01","Andorra","",3,3,1,0,0,1,0,0,0,1,0,2,0,0,0
"2020-01-01","Angola","",3,2,2,4,1,2,2,4,2,2,0,4,1.08558761204924,0.00321466612071552,3.19611347595534
"2020-01-01","Aruba","",2,2,2,4,0,2,0,3,2,2,1,3,0,0,0
"2020-01-01","Australia","",2,1,2,4,1,0,2,4,2,3,2,0,1.09917901098148,0.00300962784022859,3.67698564181185
"2020-01-01","Austria","",2,2,2,3,1,0,1,3,2,2,2,2,1.07637527556202,0.005645752538246,2.96564395670482
"2020-01-01","Azerbaijan","",3,2,2,4,1,2,2,4,2,2,2,3,1.06305316303782,0.00752648000516656,2.53064138746568
"2020-01-01","Bahrain","",3,3,2,4,1,1,1,3,2,2,2,0,1.03966251430031,0.00251830251254403,1.75628042403377
"2020-01-01","Barbados","",3,0,2,3,0,0,1,2,2,1,0,0,1.18569376228945,0.0306582363953515,8.55542643976654
"2020-01-01","Belgium","",2,2,1,4,0,2,0,3,2,2,2,3,1.06688963957614,0.00848859138858903,2.68438024782739
"2020-01-01","Belize","",3,3,2,4,0,2,2,4,2,1,2,3,1.14747618445315,0.0245005011797843,5.52465457473584
"2020-01-01","Benin","",3,2,2,4,2,0,2,2,2,2,2,3,1.06986430388702,0.0192241327897058,2.80721254304555
"2020-01-01","Bermuda","",3,1,0,0,2,0,0,4,2,1,2,0,1.09441526756877,0.00223828867559346,3.50488615667205
"2020-01-01","Bhutan","",3,3,2,4,2,3,2,3,2,2,2,4,1.07767238754969,0.00647283874420902,2.9486018464182
"2020-01-01","Bosnia and Herzegovina","",3,2,2,4,1,2,2,4,2,2,0,3,1.07989268250702,0.00333850221082834,2.86098504374513
"2020-01-01","Botswana","",2,1,1,3,0,1,2,4,2,1,1,3,1.1099502664527,0.0209374110761774,4.28796813262734
"2020-01-01","Brazil","",3,3,2,3,1,1,2,3,2,1,0,1,1.05334717499543,0.00426819871174952,2.15331630005111
"2020-01-01","Brunei","",3,3,2,4,2,3,2,4,2,3,2,4,0,0,0
"2020-01-01","Bulgaria","",2,1,2,4,0,1,0,4,2,1,2,1,1.08520446289549,0.0032474047635146,3.2313343242873
"2020-01-01","Burkina Faso","",3,2,2,3,2,2,2,4,2,1,2,3,1.07954785177059,0.00439677113356254,3.02723010803138
"2020-01-01","Cambodia","",3,3,2,4,2,3,2,4,2,3,2,4,1.06763344422086,0.0127878399181191,2.70287459060786
"2020-01-01","Canada","",3,3,2,4,0,1,2,4,2,2,1,0,1.06163087074054,0.00927528520333781,2.52190099356258
"2020-01-01","Cape Verde","",3,3,2,3,1,2,2,4,2,2,1,2,1.05470851526477,0.0103207299526681,2.33540014444768
"2020-01-01","Chad","",3,3,2,3,2,2,2,4,2,1,1,3,1.05268187317004,0.0141268787586517,2.37045327590044
"2020-01-01","Chile","",3,3,2,4,2,3,2,4,2,3,2,4,1.03982672356811,0.00683035027313894,1.8452587362784
"2020-01-01","China","",3,2,2,4,1,2,2,3,2,3,2,4,1.06431623534106,0.0107653052519406,2.62502310210925
"2020-01-01","Colombia","",3,3,2,4,2,3,2,4,2,3,2,4,1.06437728847348,0.00261645422610347,2.44076055056362
"2020-01-01","Congo","",3,3,2,3,0,3,2,4,1,1,1,0,1.07053103283604,0.00592503472848109,2.74871049362485
"2020-01-01","Costa Rica","",3,3,2,0,1,1,2,4,2,1,2,0,1.07853092588765,0.00258784086683129,2.82866325917447
"2020-01-01","Cote d'Ivoire","",3,2,2,3,1,1,2,4,2,2,1,0,1.07400778795724,0.00605976125599226,2.87537963361694
"2020-01-01","Croatia","",2,2,0,2,1,1,0,3,2,3,2,0,1.08133167404017,0.00465300104289923,3.11237966446817
"2020-01-01","Cuba","",3,3,2,0,2,2,2,4,2,1,2,0,1.07881699104415,0.00306574298710665,2.98488382999494
"2020-01-01","Cyprus","",2,2,2,3,2,1,1,4,2,3,2,0,1.0846524483108,0.00259672008972575,3.16567357515526
"2020-01-01","Czech Republic","",2,2,2,4,0,2,0,3,2,2,2,3,1.06368868979577,0.0129824295272917,2.6723610772298
"2020-01-01","Democratic Republic of Congo","",3,2,2,0,1,0,2,3,2,1,1,0,1.08152980727322,0.00744549240151194,3.12490015601887
