"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"2020-01-01","Afghanistan","",3,3,2,0,2,3,2,4,2,3,2,4,1.04795767516149,0.0155498735441058,2.25042176686817
"2020-01-01","Albania","",3,3,2,0,2,3,2,4,2,3,2,4,1.05909435809013,0.00695573194229458,2.39433151063915
"2020-01-01","Algeria","",3,3,2,0,2,3,2,4,2,3,2,4,1.06106187941273,0.00913957053253207,2.50093444255907
"2020-01-01","Andorra","",3,3,2,0,2,3,2,4,2,3,2,4,1.05923103910942,0.00425449556827236,2.15435389247719
"2020-01-01","Angola","",3,3,2,0,2,3,2,4,2,3,2,4,1.07737380546944,0.00217908542046866,2.89125295060087
"2020-01-01","Argentina","",3,3,2,0,2,3,2,4,2,3,2,4,1.05560890924913,0.00199740390400334,2.11206905032211
"2020-01-01","Aruba","",3,3,2,0,2,3,2,4,2,3,2,4,1.02887157563837,0.00225921592975316,1.49016802719611
"2020-01-01","Australia","",3,3,2,0,2,3,2,4,2,3,2,4,1.05083556774693,0.0142343459219775,2.29784667249618
"2020-01-01","Austria","",3,3,2,0,2,3,2,4,2,3,2,4,1.06505033302313,0.00555479587393654,2.54909257694553
"2020-01-01","Azerbaijan","",3,3,2,0,2,3,2,4,2,3,2,4,1.06570264129064,0.00530372079271721,2.57051394907743
"2020-01-01","Bahamas","",3,3,2,0,2,3,2,4,2,3,2,4,1.05196670890742,0.00713441485932998,2.17204771821851
"2020-01-01","Bahrain","",3,3,2,0,2,3,2,4,2,3,2,4,1.03057104138801,0.00390004964738927,1.5837336463397
"2020-01-01","Bangladesh","",3,3,2,0,2,3,2,4,2,3,2,4,1.05992659188922,0.00904346364735397,2.46361155448692
"2020-01-01","Barbados","",3,3,2,0,2,3,2,4,2,3,2,4,1.074188483937,0.00429504008808673,2.82035314166975
"2020-01-01","Belarus","",3,3,2,0,2,3,2,4,2,3,2,4,1.06802177203238,0.00189446302513145,2.56146167890668
"2020-01-01","Belgium","",3,3,2,0,2,3,2,4,2,3,2,4,1.05300195341916,0.0087048554156586,2.24324598605353
"2020-01-01","Belize","",3,3,2,0,2,3,2,4,2,3,2,4,1.06603768899717,0.00450892091413522,2.488881905977
"2020-01-01","Benin","",3,3,2,0,2,3,2,4,2,3,2,4,1.05046798720784,0.0146156585215763,2.30150434459562
"2020-01-01","Bermuda","",3,3,2,0,2,3,2,4,2,3,2,4,1.07716333958012,0.00945931129014494,2.94128176729689
"2020-01-01","Bhutan","",3,3,2,0,2,3,2,4,2,3,2,4,1.08893382593843,0.00488193064799638,3.18463742023548
"2020-01-01","Bolivia","",3,3,2,0,2,3,2,4,2,3,2,4,1.0476518332094,0.00884163124777251,2.08866684291805
"2020-01-01","Bosnia and Herzegovina","",3,3,2,0,2,3,2,4,2,3,2,4,1.05635441598362,0.00587690102415124,2.28397127771464
