"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"Afghanistan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.0983292342112,0.014516668403699,4.25575841521756
"Albania","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09123373241885,0.0130501600487015,3.83522254206888
"Algeria","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09373623840472,0.0163744366772347,4.08222923051932
"Andorra","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.06032623472793,0.0115211455799542,2.07611789261113
"Angola","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.110413031177,0.0098962924559298,4.74368236737252
"Argentina","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.0748917141574,0.00508340990590095,2.84488250918265
"Aruba","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.04515267146672,0.00578161662333186,1.94710414257035
"Australia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08804052161406,0.0196898613078705,3.90593823068999
"Austria","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09354760434091,0.0094314854582284,3.82312857469111
"Azerbaijan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09542534444649,0.0135667709222806,4.06291628966716
"Bahamas","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08865713717937,0.00601462569600509,3.17722521001417
"Bahrain","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.04895561247277,0.00475476573348845,2.0361833727367
"Bangladesh","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09600990385122,0.0143523403296072,4.12655784694066
"Barbados","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.11010034848622,0.0106739033309611,4.75601806609296
"Belarus","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09926130789102,0.00862271763938229,4.07165719431372
"Belgium","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09418991734787,0.004624063711329,3.47523912071393
"Belize","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10799598088561,0.00465271833462321,4.20548915410733
"Benin","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.12879640124228,0.0043988560791752,5.51056362652045
"Bermuda","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10364662391739,0.0112806927321965,4.39713874923358
"Bhutan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10380465201456,0.0120564333938304,4.47537588421483
"Bolivia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08138935463114,0.0155524952416986,3.4436567785203
"Bosnia and Herzegovina","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08526507722934,0.0129096736205568,3.55287856230099
"Botswana","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.14828409552395,0.0138232559574986,6.20135724267621
"Brazil","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.07376218000105,0.00873896176716208,2.93991943787146
"Brunei","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10097952964179,0.0139320187236206,4.37364716646086
"Bulgaria","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10498153960956,0.00923610819541018,4.38631044820484
"Burkina Faso","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10241475241603,0.0146124400708076,4.472576791175
"Burundi","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.17824552697081,0.0184328219185762,8.38344727453711
"Cambodia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09194521027186,0.0192376963465486,4.04295471518759
"Cameroon","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09959184015421,0.0137537660859181,4.29687372312375
"Canada","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10568283369845,0.0066824180012208,4.34512303503328
"Cape Verde","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08741187306632,0.00684070834689247,3.40933629176812
"Central African Republic","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.11118535774539,0.0101986323498455,4.79672972204419
"Chad","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09010076691578,0.01884765342172,4.02550373256561
"Chile","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.07548762097589,0.0094268118286311,3.02123720461703
"China","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10001541773761,0.0148322757379162,4.36974103850413
"Colombia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.07914746906799,0.00833718691051726,3.14070074250064
"Comoros","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.13932646551952,0.00781891797298531,6.23769059792072
"Congo","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.0822350257835,0.0208565404474531,3.72171520010256
"Costa Rica","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.07570437405509,0.00571684508512352,2.91289840994299
"Cote d'Ivoire","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10321553214614,0.0123145292979167,4.41672075210325
"Croatia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09264645111637,0.012683333365914,3.89374325522679
"Cuba","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.0983034795779,0.0148118997164947,4.26892662742052
"Cyprus","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.12271112439138,0.00314825694579288,5.17856619207201
"Czech Republic","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.088963392595,0.00492825767977268,3.29325720983955
"Democratic Republic of Congo","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09837220362317,0.014217143289233,4.25729946647837
"Denmark","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.1006110983839,0.00372583832644875,3.93569646048723
"Djibouti","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10083324802241,0.0117719505112818,4.30794820504783
"Dominica","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dominican Republic","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08121438098784,0.0151278911112333,3.45311751516046
"Ecuador","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09151465432543,0.0101234333493658,3.73596754139192
"Egypt","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09526605768483,0.0161348760491999,4.14888881550448
"El Salvador","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10809142412676,0.00612089753722152,4.45439318288179
"Eritrea","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.11887613655977,0.0138772673119003,5.17667270155691
"Estonia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10644346300889,0.00697421500255898,4.40795481028939
"Eswatini","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09218835424916,0.0140969802170853,3.9181952084831
"Ethiopia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09885915725304,0.0137167895725911,4.25784638820558
"Faeroe Islands","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.11373447888304,0.0102030554690069,4.17882206049987
"Fiji","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Finland","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.11545945449956,0.00499599317249931,4.82655769829612
"France","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08834216803721,0.00403655811393339,3.31439412731317
"Gabon","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08796420588895,0.0179634548956497,3.85828696587459
"Gambia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.07806506347672,0.0230349762601171,3.57674209194728
"Georgia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.11018166179722,0.00406555283522364,4.4086108341531
"Germany","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09881087546828,0.0116276072767943,4.17388614229395
"Ghana","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09410996416504,0.0153938376858983,4.07874192767374
"Greece","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10191226963678,0.0102420585938371,4.28174649378292
"Greenland","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Guam","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08067488074379,0.00545575722349711,3.07503649995011
"Guatemala","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10013649389639,0.00870168233638186,4.12182368081634
"Guinea","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.0961445397562,0.0150439557382997,4.17372897618483
"Guyana","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10138296025071,0.00287996632108754,3.93138431074569
"Haiti","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10705337051926,0.0124418129261776,4.62013051867144
"Honduras","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09206934968374,0.0117156931982212,3.81630656423489
"Hong Kong","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09104238675167,0.0178431077195792,4.00846983703546
"Hungary","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09813482474405,0.0065569496485251,3.93411796650068
"Iceland","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.11716178622135,0.030168202586609,3.69068985277664
"India","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09158602853151,0.0119245674154027,3.81354587470257
"Indonesia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10366192912698,0.0110183517853515,4.40389493098833
"Iran","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10067858942587,0.00794177236070813,4.12857531520105
"Iraq","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.0879552714729,0.00845127123218333,3.51851179851238
"Ireland","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09629544769326,0.00804422823854591,3.90620239009463
"Israel","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.05139804776745,0.0152706607567125,1.76704036376802
"Italy","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.0979829733589,0.0106563366679623,4.0880811877303
"Jamaica","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09880452166519,0.00888353585115293,4.08081387652875
"Japan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09758076717894,0.015185913148201,4.23572603158778
"Jordan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.12531678199217,0.00665988867967431,4.97519200361976
"Kazakhstan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.09025150258315,0.0141575877647814,3.82318519039891
"Kenya","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10526629436925,0.0117468467362153,4.51609941602629
"Kosovo","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.08962164437375,0.012554038681423,3.74268101536381
"Kuwait","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.07019247507029,0.00941257863836314,2.82358914000889
"Kyrgyz Republic","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,1.10636334392158,0.00678578403377574,4.36679617871362
"Laos","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
