"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"Afghanistan","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.09913510306044,0.0147708877118102,4.30456273771283
"Albania","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.07707261662586,0.00476529646233205,2.87196948871042
"Algeria","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.09544566739815,0.0146432769016471,4.11072378487845
"Andorra","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.00572937380711,0.00269958035724738,1.06284478314613
"Angola","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.09216889448984,0.0184746981184022,4.06374381100822
"Argentina","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.06447952481592,0.00817856057143137,2.59690018393164
"Aruba","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.06195800949826,0.00186653064327346,2.33666580551371
"Australia","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10013451040387,0.0143382161158718,4.3385632981808
"Austria","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.0496715265479,0.00796678428278429,2.12597479401697
"Azerbaijan","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.0713454444541,0.00809665381738982,2.50573058301906
"Bahamas","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.07366458191964,0.0160293953743163,3.13675549966021
"Bahrain","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.05448186076073,0.00604234160203186,2.23105818482709
"Bangladesh","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.09878955700677,0.0132052289659727,4.22643400905543
"Barbados","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10934831791516,0.010743491637477,4.72920160063935
"Belarus","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.08098520851807,0.00506085251114887,3.09393440330098
"Belgium","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.04544810356278,0.00769564437864695,2.011368816563
"Belize","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.05368537967054,0.0791025628779163,0.928008821438582
"Benin","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.11553357634603,0.00784191090274675,4.98625137494196
"Bermuda","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.12425869755853,0.026441330866231,4.19849599035425
"Bhutan","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.13115786227935,0.00267566434616432,5.66139849619556
"Bolivia","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.09915526203681,0.00863930703768066,4.05553554240826
"Bosnia and Herzegovina","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.06151338815727,0.00508804328933156,2.40679652051388
"Botswana","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10943293168865,0.00365292705173035,4.24330596778485
"Brazil","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.07057026172669,0.00292711934130892,2.65130773486272
"Brunei","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10011567734541,0.0164181671162933,4.40306549313499
"Bulgaria","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.06154202354844,0.00505728032465609,2.37930298962584
"Burkina Faso","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.13799364991884,0.0022756998444679,6.01355331471686
"Burundi","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.09338592739798,0.0192055780342494,4.14955977029411
"Cambodia","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.16494723333036,0.0168704537798417,7.49252325320851
"Cameroon","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10776665448938,0.0119231898103736,4.64741028394861
"Canada","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.08550761063958,0.00526341371705738,3.29042751247169
"Cape Verde","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.0734006599877,0.0126659247625358,3.04076192936166
"Central African Republic","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.16384933833062,0.0136879049808246,7.38797085283576
"Chad","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.11540110127956,0.00833045133467285,4.96776210505621
"Chile","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.07300032124398,0.0087662624457355,2.91660221056225
"China","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10921791752482,0.0117843708296406,4.7212862747751
"Colombia","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.07207123391306,0.00488138153088704,2.77055854578797
"Comoros","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.08679023728769,0.0215998714467586,3.9002747091721
"Congo","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.06627826316508,0.00776606694628571,2.64122740024028
"Cote d'Ivoire","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10613106458255,0.0112788793715192,4.56710567602359
"Croatia","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.03986086340947,0.00891567774443723,1.61346736990165
"Cuba","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.11492060871314,0.00784497361705852,4.92514872126162
"Cyprus","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.08274245612465,0.00497720454235187,3.08794401444414
"Czech Republic","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.042786604771,0.00473996949848734,1.87783832718222
"Democratic Republic of Congo","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.12127385597255,0.00584846168529062,5.2199862103396
"Denmark","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.0784226873704,0.00436390371627763,2.88430986031029
"Djibouti","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,1.10778985826123,0.00947718103910651,4.54035342094363
"Dominica","","2020-01-01",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
