"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"Afghanistan","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.02199059532168,0.0383959280008666,0.925080100174019
"Albania","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.995945606626963,0.0155845545623393,0.807621378210931
"Algeria","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.10191522032809,0.00775304605979771,3.69633374224228
"Andorra","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.98968356595014,0.0150797354596516,0.879393046160066
"Angola","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.10905615472235,0.00451358080978475,4.1704681184588
"Argentina","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.00800303756502,0.00778728179755435,1.03826779065094
"Aruba","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.960695976775473,0.00731208553108765,0.559918057966537
"Australia","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.11564565085337,0.00471348721432194,4.83350991486367
"Austria","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.02423697747505,0.00585304839809231,1.32854761512443
"Azerbaijan","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.06487214500909,0.00791820113466916,2.27028320597553
"Bahamas","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.08049552157748,0.00384336082999429,2.90237229402898
"Bahrain","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.02282134333741,0.0040106623945378,1.32502511842598
"Bangladesh","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.10336502613678,0.00333738004147759,3.94684144425612
"Barbados","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.930196799411821,0.00381580128923446,0.348843359277806
"Belarus","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.987817191506783,0.0195744792865225,0.688827681647792
"Belgium","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.02354259141236,0.00384082771444057,1.34032504174171
"Belize","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.03059018561447,0.0117919752161914,1.36898358947711
"Benin","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.11674369854954,0.00575506618431949,4.51498582587284
"Bermuda","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.03296837517765,0.0247225622898668,1.24483175562428
"Bhutan","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.10144964624298,0.00590947148462227,3.74870744971524
"Bolivia","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.980598250413793,0.0189693682548192,0.624419041542149
"Bosnia and Herzegovina","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.0271490643447,0.0121631800883546,1.29908719788876
"Botswana","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.975348036847233,0.0211499400194779,0.565151281133518
"Brazil","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.01385456418775,0.00712085769275679,1.13524319454695
"Brunei","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.12014728663957,0.00169741422627945,4.95212229611049
"Bulgaria","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.03374199471796,0.0128892510767644,1.41387096924822
"Burkina Faso","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.0711728926201,0.0287814928767181,2.0298482707792
"Burundi","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.00877443799613,0.0454165892080469,0.709072844936631
"Cambodia","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.12147100690904,0.00148447603127543,4.99796280965462
"Cameroon","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Canada","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.0088753712922,0.0143790305848336,0.983897123248773
"Cape Verde","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,0.995316638281806,0.0144538044037274,0.810036618533698
"Central African Republic","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.12384847281357,0.00123268447824758,5.11979849909821
"Chad","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.10399673955248,0.00601653719331872,3.86633443628407
"Chile","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.022349855131,0.00895294526014899,1.25570700009364
"China","","2020-01-01",0,0,0,0,1,0,1,0,0,0,0,0,1.12009026281877,0.00481992686255368,5.11380504446944
