"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"Afghanistan","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.01974553220704,0.0364283068130841,0.913929159313014
"Albania","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,0.99220085218391,0.014899708086099,0.770572933968605
"Algeria","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.09621979501079,0.00725582217123497,3.43700733245402
"Andorra","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,0.988414637103528,0.017281468310289,0.855478388682558
"Angola","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.10295471192903,0.00425178677436109,3.8490834621936
"Argentina","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.00331358080261,0.00755280590610631,0.973472994533855
"Aruba","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,0.957016342195935,0.0105177058666911,0.535768614255412
"Australia","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.10875397574226,0.00374871932905917,4.39345055334559
"Austria","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.01916675588823,0.00569589521565832,1.23874753622867
"Azerbaijan","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.05965583217085,0.00740868633448965,2.12193676064063
"Bahamas","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.07463004150462,0.00362218708938798,2.68204840601839
"Bahrain","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.01741010654892,0.00411717479915373,1.22662948825338
"Bangladesh","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,1.09723263101246,0.00297344729520042,3.63776455421847
"Barbados","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,0.92559651162475,0.00416231577219908,0.324115458439541
"Belarus","","2020-01-01",0,0,0,0,0,3,0,0,0,3,0,0,0.984440272610909,0.0187814943969517,0.661320011803782
