"Date","CountryName","RegionName","cases","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","isSpecialty","X","date","estimate","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-01-02,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-03,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-04,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-05,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-06,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-07,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-08,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-09,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-10,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-11,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-12,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-13,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-14,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-15,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-16,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-17,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-18,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-19,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-20,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-21,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-22,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-23,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-24,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-25,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-26,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-27,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-28,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-29,"Ghana","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-30,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-01-31,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-01,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-02,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-03,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-04,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-05,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-06,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-07,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-08,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-09,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-10,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-11,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-12,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-13,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-14,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-15,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-16,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-17,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-18,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-19,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-20,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-21,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-22,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-23,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-24,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-25,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-26,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-27,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-28,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-29,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-01,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-02,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-03,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-04,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-05,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-06,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-07,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-08,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-09,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-10,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-11,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-12,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-13,"Ghana","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-14,"Ghana","",3,0.428571428571429,0,0.428571428571429,0,1,NA,NA,3,0,0
2020-03-15,"Ghana","",3,0.857142857142857,0,0.428571428571429,0,1,NA,NA,3,0,0
2020-03-16,"Ghana","",0,0.857142857142857,0,0,0,1,NA,NA,0,0,0
2020-03-17,"Ghana","",1,1,0,0.142857142857143,0,1,NA,NA,1,0,0
2020-03-18,"Ghana","",0,1,0,0,0,1,NA,NA,0,0,0
2020-03-19,"Ghana","",4,1.57142857142857,0,0.571428571428571,0,1,NA,NA,4,0,0
2020-03-20,"Ghana","",5,2.28571428571429,0,0.714285714285714,0,1,NA,NA,5,0.107142857142857,0.0321428571428571
2020-03-21,"Ghana","",3,2.28571428571429,0.142857142857143,0,0.142857142857143,1,NA,NA,3,0.214285714285714,0.0642857142857143
2020-03-22,"Ghana","",4,2.42857142857143,0.142857142857143,0.142857142857143,0,1,NA,NA,4,0.214285714285714,0.0642857142857143
2020-03-23,"Ghana","",4,3,0.285714285714286,0.571428571428572,0.142857142857143,1,NA,NA,4,0.25,0.075
2020-03-24,"Ghana","",26,6.57142857142857,0.285714285714286,3.57142857142857,0,1,NA,NA,26,0.25,0.075
2020-03-25,"Ghana","",40,12.2857142857143,0.571428571428571,5.71428571428572,0.285714285714286,1,NA,NA,40,0.392857142857143,0.117857142857143
2020-03-26,"Ghana","",39,17.2857142857143,0.571428571428571,5,0,1,NA,NA,39,0.571428571428571,0.171428571428571
2020-03-27,"Ghana","",5,17.2857142857143,0.571428571428571,0,0,1,NA,NA,5,0.571428571428571,0.171428571428571
2020-03-28,"Ghana","",4,17.4285714285714,0.571428571428571,0.142857142857142,0,1,NA,NA,4,0.607142857142857,0.182142857142857
2020-03-29,"Ghana","",11,18.4285714285714,0.571428571428571,1,0,1,NA,NA,11,0.75,0.225
2020-03-30,"Ghana","",0,17.8571428571429,0.428571428571429,-0.571428571428569,-0.142857142857143,1,NA,NA,0,1.64285714285714,0.492857142857143
2020-03-31,"Ghana","",9,15.4285714285714,0.428571428571429,-2.42857142857143,0,1,NA,NA,9,3.07142857142857,0.921428571428571
2020-04-01,"Ghana","",34,14.5714285714286,0.142857142857143,-0.857142857142858,-0.285714285714286,1,NA,NA,34,4.32142857142857,1.29642857142857
2020-04-02,"Ghana","",9,10.2857142857143,0.142857142857143,-4.28571428571428,0,1,NA,NA,9,4.32142857142857,1.29642857142857
2020-04-03,"Ghana","",1,9.71428571428571,0.142857142857143,-0.571428571428573,0,1,NA,NA,1,4.35714285714286,1.30714285714286
2020-04-04,"Ghana","",0,9.14285714285714,0,-0.571428571428571,-0.142857142857143,1,NA,NA,0,4.60714285714286,1.38214285714286
2020-04-05,"Ghana","",9,8.85714285714286,0,-0.285714285714285,0,1,NA,NA,9,4.46428571428571,1.33928571428571
2020-04-06,"Ghana","",0,8.85714285714286,0,0,0,1,NA,NA,0,3.85714285714286,1.15714285714286
2020-04-07,"Ghana","",73,18,0,9.14285714285714,0,1,NA,NA,73,3.64285714285714,1.09285714285714
2020-04-08,"Ghana","",26,16.8571428571429,0.142857142857143,-1.14285714285714,0.142857142857143,1,NA,NA,26,2.57142857142857,0.771428571428571
2020-04-09,"Ghana","",65,24.8571428571429,0.142857142857143,8,0,1,NA,NA,65,2.42857142857143,0.728571428571429
2020-04-10,"Ghana","",0,24.7142857142857,0.142857142857143,-0.142857142857142,0,1,NA,NA,0,2.28571428571429,0.685714285714286
2020-04-11,"Ghana","",30,29,0.428571428571429,4.28571428571428,0.285714285714286,1,NA,NA,30,2.21428571428571,0.664285714285714
2020-04-12,"Ghana","",158,50.2857142857143,0.428571428571429,21.2857142857143,0,1,NA,NA,158,2.21428571428571,0.664285714285714
2020-04-13,"Ghana","",0,50.2857142857143,0.428571428571429,0,0,1,NA,NA,0,4.5,1.35
2020-04-14,"Ghana","",70,49.8571428571429,0.428571428571429,-0.428571428571431,0,1,NA,NA,70,4.21428571428571,1.26428571428571
2020-04-15,"Ghana","",0,46.1428571428571,0.285714285714286,-3.71428571428571,-0.142857142857143,1,NA,NA,0,6.21428571428571,1.86428571428571
2020-04-16,"Ghana","",5,37.5714285714286,0.285714285714286,-8.57142857142858,0,1,NA,NA,5,6.17857142857143,1.85357142857143
2020-04-17,"Ghana","",0,37.5714285714286,0.285714285714286,0,0,1,NA,NA,0,7.25,2.175
2020-04-18,"Ghana","",193,60.8571428571429,0.142857142857143,23.2857142857143,-0.142857142857143,1,NA,NA,193,12.5714285714286,3.77142857142857
2020-04-19,"Ghana","",208,68,0.142857142857143,7.14285714285715,0,1,NA,NA,208,12.5714285714286,3.77142857142857
2020-04-20,"Ghana","",0,68,0.142857142857143,0,0,1,NA,NA,0,12.4642857142857,3.73928571428571
2020-04-21,"Ghana","",0,58,0.142857142857143,-10,0,1,NA,NA,0,11.5357142857143,3.46071428571429
2020-04-22,"Ghana","",112,74,0.142857142857143,16,0,1,NA,NA,112,9.39285714285714,2.81785714285714
2020-04-23,"Ghana","",0,73.2857142857143,0.142857142857143,-0.714285714285708,0,1,NA,NA,0,9.39285714285714,2.81785714285714
2020-04-24,"Ghana","",125,91.1428571428571,0.285714285714286,17.8571428571428,0.142857142857143,1,NA,NA,125,15.2142857142857,4.56428571428571
2020-04-25,"Ghana","",0,63.5714285714286,0.142857142857143,-27.5714285714286,-0.142857142857143,1,NA,NA,0,17,5.1
2020-04-26,"Ghana","",271,72.5714285714286,0.285714285714286,9,0.142857142857143,1,NA,NA,271,17,5.1
2020-04-27,"Ghana","",0,72.5714285714286,0.285714285714286,0,0,1,NA,NA,0,14.5,4.35
2020-04-28,"Ghana","",121,89.8571428571429,1,17.2857142857143,0.714285714285714,1,NA,NA,121,18.5,5.55
2020-04-29,"Ghana","",0,73.8571428571429,1,-16,0,1,NA,NA,0,18.3214285714286,5.49642857142857
2020-04-30,"Ghana","",403,131.428571428571,1.14285714285714,57.5714285714286,0.142857142857143,1,NA,NA,403,22.7857142857143,6.83571428571429
2020-05-01,"Ghana","",0,113.571428571429,1,-17.8571428571428,-0.142857142857143,1,NA,NA,0,15.8928571428571,4.76785714285714
2020-05-02,"Ghana","",95,127.142857142857,1.14285714285714,13.5714285714286,0.142857142857143,1,NA,NA,95,18.1428571428571,5.44285714285714
2020-05-03,"Ghana","",0,88.4285714285714,1,-38.7142857142857,-0.142857142857143,1,NA,NA,0,18.1428571428571,5.44285714285714
2020-05-04,"Ghana","",550,167,1,78.5714285714286,0,1,NA,NA,550,22.4642857142857,6.73928571428571
2020-05-05,"Ghana","",0,149.714285714286,0.285714285714286,-17.2857142857143,-0.714285714285714,1,NA,NA,0,18.4642857142857,5.53928571428571
2020-05-06,"Ghana","",372,202.857142857143,0.285714285714286,53.1428571428571,0,1,NA,NA,372,32.8571428571429,9.85714285714286
2020-05-07,"Ghana","",0,145.285714285714,0.142857142857143,-57.5714285714286,-0.142857142857143,1,NA,NA,0,28.3928571428571,8.51785714285714
2020-05-08,"Ghana","",921,276.857142857143,0.142857142857143,131.571428571429,0,1,NA,NA,921,31.7857142857143,9.53571428571428
2020-05-09,"Ghana","",251,299.142857142857,0.571428571428571,22.2857142857143,0.428571428571429,1,NA,NA,251,22.1071428571429,6.63214285714286
2020-05-10,"Ghana","",0,299.142857142857,0.571428571428571,0,0,1,NA,NA,0,41.75,12.525
2020-05-11,"Ghana","",437,283,0.571428571428571,-16.1428571428572,0,1,NA,NA,437,37.4285714285714,11.2285714285714
2020-05-12,"Ghana","",427,344,0.571428571428571,61,0,1,NA,NA,427,50.7142857142857,15.2142857142857
2020-05-13,"Ghana","",281,331,0.857142857142857,-13,0.285714285714286,1,NA,NA,281,36.3214285714286,10.8964285714286
2020-05-14,"Ghana","",122,348.428571428571,0.857142857142857,17.4285714285714,0,1,NA,NA,122,69.2142857142857,20.7642857142857
2020-05-15,"Ghana","",108,232.285714285714,1.42857142857143,-116.142857142857,0.571428571428572,1,NA,NA,108,74.7857142857143,22.4357142857143
2020-05-16,"Ghana","",97,210.285714285714,1,-22,-0.428571428571429,1,NA,NA,97,74.7857142857143,22.4357142857143
2020-05-17,"Ghana","",0,210.285714285714,1,0,0,1,NA,NA,0,70.75,21.225
2020-05-18,"Ghana","",0,147.857142857143,1,-62.4285714285714,0,1,NA,NA,0,86,25.8
2020-05-19,"Ghana","",361,138.428571428571,1.28571428571429,-9.42857142857144,0.285714285714286,1,NA,NA,361,82.75,24.825
2020-05-20,"Ghana","",173,123,1,-15.4285714285714,-0.285714285714286,1,NA,NA,173,87.1071428571429,26.1321428571429
2020-05-21,"Ghana","",0,105.571428571429,1,-17.4285714285714,0,1,NA,NA,0,58.0714285714286,17.4214285714286
2020-05-22,"Ghana","",217,121.142857142857,0.428571428571429,15.5714285714286,-0.571428571428571,1,NA,NA,217,52.5714285714286,15.7714285714286
2020-05-23,"Ghana","",131,126,0.285714285714286,4.85714285714286,-0.142857142857143,1,NA,NA,131,52.5714285714286,15.7714285714286
2020-05-24,"Ghana","",66,135.428571428571,0.428571428571429,9.42857142857142,0.142857142857143,1,NA,NA,66,36.9642857142857,11.0892857142857
2020-05-25,"Ghana","",125,153.285714285714,0.428571428571429,17.8571428571429,0,1,NA,NA,125,34.6071428571429,10.3821428571429
2020-05-26,"Ghana","",309,145.857142857143,0.428571428571429,-7.42857142857142,0,1,NA,NA,309,30.75,9.225
2020-05-27,"Ghana","",186,147.714285714286,0.428571428571429,1.85714285714286,0,1,NA,NA,186,26.3928571428571,7.91785714285714
2020-05-28,"Ghana","",0,147.714285714286,0.428571428571429,0,0,1,NA,NA,0,30.2857142857143,9.08571428571429
2020-05-29,"Ghana","",313,161.428571428571,0.428571428571429,13.7142857142857,0,1,NA,NA,313,31.5,9.45
2020-05-30,"Ghana","",152,164.428571428571,0.571428571428571,3,0.142857142857143,1,NA,NA,152,33.8571428571429,10.1571428571429
2020-05-31,"Ghana","",302,198.142857142857,0.571428571428571,33.7142857142857,0,1,NA,NA,302,38.3214285714286,11.4964285714286
2020-06-01,"Ghana","",0,180.285714285714,0.571428571428571,-17.8571428571429,0,1,NA,NA,0,36.4642857142857,10.9392857142857
2020-06-02,"Ghana","",227,168.571428571429,0.571428571428571,-11.7142857142857,0,1,NA,NA,227,36.9285714285714,11.0785714285714
2020-06-03,"Ghana","",251,177.857142857143,0.571428571428571,9.28571428571428,0,1,NA,NA,251,36.9285714285714,11.0785714285714
2020-06-04,"Ghana","",337,226,0.571428571428571,48.1428571428571,0,1,NA,NA,337,40.3571428571429,12.1071428571429
2020-06-05,"Ghana","",283,221.714285714286,1.14285714285714,-4.28571428571428,0.571428571428571,1,NA,NA,283,41.1071428571429,12.3321428571429
2020-06-06,"Ghana","",294,242,1.28571428571429,20.2857142857143,0.142857142857143,1,NA,NA,294,49.5357142857143,14.8607142857143
2020-06-07,"Ghana","",176,224,1.14285714285714,-18,-0.142857142857143,1,NA,NA,176,45.0714285714286,13.5214285714286
2020-06-08,"Ghana","",272,262.857142857143,1.71428571428571,38.8571428571428,0.571428571428571,1,NA,NA,272,42.1428571428571,12.6428571428571
2020-06-09,"Ghana","",291,272,1.42857142857143,9.14285714285717,-0.285714285714286,1,NA,NA,291,44.4642857142857,13.3392857142857
2020-06-10,"Ghana","",0,236.142857142857,1.42857142857143,-35.8571428571429,0,1,NA,NA,0,56.5,16.95
2020-06-11,"Ghana","",157,210.428571428571,1.42857142857143,-25.7142857142857,0,1,NA,NA,157,55.4285714285714,16.6285714285714
2020-06-12,"Ghana","",498,241.142857142857,0.857142857142857,30.7142857142857,-0.571428571428572,1,NA,NA,498,60.5,18.15
2020-06-13,"Ghana","",262,236.571428571429,0.571428571428571,-4.57142857142856,-0.285714285714286,1,NA,NA,262,56,16.8
2020-06-14,"Ghana","",846,332.285714285714,1.42857142857143,95.7142857142857,0.857142857142857,1,NA,NA,846,65.7142857142857,19.7142857142857
2020-06-15,"Ghana","",0,293.428571428571,0.857142857142857,-38.8571428571428,-0.571428571428572,1,NA,NA,0,68,20.4
2020-06-16,"Ghana","",229,284.571428571429,1.42857142857143,-8.85714285714289,0.571428571428572,1,NA,NA,229,59.0357142857143,17.7107142857143
2020-06-17,"Ghana","",397,341.285714285714,2.57142857142857,56.7142857142857,1.14285714285714,1,NA,NA,397,52.6071428571429,15.7821428571429
2020-06-18,"Ghana","",339,367.285714285714,2.57142857142857,26,0,1,NA,NA,339,60.2857142857143,18.0857142857143
2020-06-19,"Ghana","",274,335.285714285714,3.14285714285714,-32,0.571428571428571,1,NA,NA,274,59.1428571428571,17.7428571428571
2020-06-20,"Ghana","",514,371.285714285714,5.28571428571429,36,2.14285714285714,1,NA,NA,514,83.0714285714286,24.9214285714286
2020-06-21,"Ghana","",437,312.857142857143,4.42857142857143,-58.4285714285714,-0.857142857142857,1,NA,NA,437,73.3571428571429,22.0071428571429
2020-06-22,"Ghana","",0,312.857142857143,4.42857142857143,0,0,1,NA,NA,0,71.1428571428571,21.3428571428571
2020-06-23,"Ghana","",414,339.285714285714,5.28571428571429,26.4285714285714,0.857142857142857,1,NA,NA,414,85.3214285714286,25.5964285714286
2020-06-24,"Ghana","",445,346.142857142857,4.14285714285714,6.85714285714289,-1.14285714285714,1,NA,NA,445,91.8214285714286,27.5464285714286
2020-06-25,"Ghana","",460,363.428571428571,4.14285714285714,17.2857142857143,0,1,NA,NA,460,83.8214285714286,25.1464285714286
2020-06-26,"Ghana","",361,375.857142857143,4.71428571428571,12.4285714285714,0.571428571428571,1,NA,NA,361,92.8214285714286,27.8464285714286
2020-06-27,"Ghana","",597,387.714285714286,2.57142857142857,11.8571428571429,-2.14285714285714,1,NA,NA,597,78.2142857142857,23.4642857142857
