"Date","CountryName","RegionName","cases","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","isSpecialty","X","date","estimate","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-01-02,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-03,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-04,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-05,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-06,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-07,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-08,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-09,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-10,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-11,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-12,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-13,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-14,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-15,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-16,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-17,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-18,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-19,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-20,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-21,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-22,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-23,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-24,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-25,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-26,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-27,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-28,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-29,"Portugal","",0,0,0,NA,NA,1,NA,NA,0,0,0
2020-01-30,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-01-31,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-01,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-02,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-03,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-04,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-05,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-06,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-07,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-08,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-09,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-10,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-11,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-12,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-13,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-14,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-15,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-16,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-17,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-18,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-19,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-20,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-21,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-22,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-23,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-24,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-25,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-26,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-27,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-28,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-02-29,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-01,"Portugal","",0,0,0,0,0,1,NA,NA,0,0,0
2020-03-02,"Portugal","",2,0.285714285714286,0,0.285714285714286,0,1,NA,NA,2,0,0
2020-03-03,"Portugal","",0,0.285714285714286,0,0,0,1,NA,NA,0,0,0
2020-03-04,"Portugal","",3,0.714285714285714,0,0.428571428571429,0,1,NA,NA,3,0,0
